ANO;Mês;ENERGIA_PONTA
2017;Janeiro;3284
2017;Fevereiro;3185
2017;Marco;4544
2017;Abril;7188
2017;Maio;5880
2017;Junho;6841
2017;Julho;5358
2017;Agosto;4100
2017;Setembro;6531
2017;Outubro;8520
2017;Novembro;6783
2017;Dezembro;6240
2018;Janeiro;3030
2018;Fevereiro;3077
2018;Marco;4157
2018;Abril;7983
2018;Maio;7713
2018;Junho;5749
2018;Julho;6958
2018;Agosto;4728
2018;Setembro;6817
2018;Outubro;7555
2018;Novembro;6859
2018;Dezembro;6975
2019;Janeiro;3247
2019;Fevereiro;2662
2019;Marco;2790
2019;Abril;7834
2019;Maio;7211
2019;Junho;5892
2019;Julho;6494
2019;Agosto;4140
2019;Setembro;7246
2019;Outubro;7724
2019;Novembro;8005
2019;Dezembro;8282
2020;Janeiro;3326
2020;Fevereiro;3080
2020;Marco;5069
2020;Abril;3702
2020;Maio;1980
2020;Junho;2547
